Priority_Rank,Tier,Name,Organization,Award_Amount,Deadline,Cycle_Status,Eligibility_Summary,Fit_Score,Special_Materials_Required,Application_Link,Description,Notes_Flags
1,TIER1_URGENT,NSBE Scholarship Program (Multiple Awards),National Society of Black Engineers,"$500–$15,000 (varies by award)",Spring 2026 Cycle Opening Soon – GPA verification open Apr 1–Jul 31 2026,FALL 2026 PRIORITY – APPLY NOW,NSBE member; engineering/STEM major; GPA varies (3.0+ for most); U.S. citizen or permanent resident; undergraduate,VERY HIGH – Black/African American STEM engineer; NASA-bound fits mission,"✏️ Essay required; 📄 Transcripts; 📝 LOR (1–3 for most awards); NSBE membership required",https://nsbe.smapply.io/,"Over $1M awarded annually. Multiple individual corporate-sponsored scholarships available for undergraduate engineers. Emilio qualifies as Black STEM student. GPA verification window open now through July 2026.","⚠️ Must join NSBE and verify GPA ASAP (window closes Jul 31 2026). Spring scholarship cycle expected to open soon – monitor portal"
2,TIER1_URGENT,NSBE Analog Devices Scholarship 2026,National Society of Black Engineers / Analog Devices,"$5,000 (2 awards)",Spring 2026 – check NSBE portal,FALL 2026 PRIORITY,NSBE member; Computer/Electrical Engineering or Technology; Freshman/Sophomore/Junior; 3.0 GPA; U.S. citizen,HIGH – STEM engineering; strong fit if enrolled in EE/CompE-adjacent coursework,"✏️ Essay; 📄 Transcripts; GPA verification",https://nsbe.smapply.io/,"Corporate-sponsored NSBE scholarship for tech-focused engineers. $5,000 award for 2 recipients nationwide.","⚠️ Note: Aerospace Eng may be considered Technology – confirm with NSBE. Emilio qualifies as transfer/incoming freshman at 4-year institution"
3,TIER1_URGENT,Mamon & Cynthia Powers Scholarship 2026,National Society of Black Engineers,"$10,000 (4 awards)",Spring 2026 – check NSBE portal,FALL 2026 PRIORITY,NSBE member; Business / Civil Engineering / Technology; all undergrad levels; 2.0 GPA minimum; U.S. citizen,MEDIUM-HIGH – broad eligibility; 2.0 GPA floor is very accessible; 4 awards increases odds,"✏️ Essay; 📄 Transcripts; GPA verification",https://nsbe.smapply.io/,"One of the most accessible NSBE scholarships with a low GPA floor and broad major eligibility. $10,000 for 4 recipients.","✅ Low GPA barrier. Apply as part of NSBE application bundle"
4,TIER1_URGENT,GMiS Scholars Program (Great Minds in STEM),Great Minds in STEM (GMiS),"$500–$5,000 (merit); $500–$1,000 (need-based)",Spring/Summer 2026 – check portal (opens annually for 2026–2027),FALL 2026 PRIORITY – CHECK PORTAL NOW,Hispanic/underrepresented STEM student; 3.0 GPA (merit) or 2.5 (need-based); STEM major; U.S. citizen/permanent resident/DACA,VERY HIGH – Hispanic + STEM engineer; dual merit/need tracks perfectly fit Emilio's profile,"✏️ Essay (personal statement + career goals); 📄 Transcripts; 📝 LOR; leadership evidence",https://gmis-scholars.org/,"30+ year history supporting Hispanic STEM students. Emilio qualifies for BOTH merit ($500–$5,000) and need-based ($500–$1,000) tracks. Conference networking + professional development included.","⚠️ Check portal for 2026–2027 cycle open date. Awards typically announced at GMiS Conference in fall"
5,TIER1_URGENT,The Gates Scholarship,Bill & Melinda Gates Foundation,"Full cost of attendance (minus other aid) – up to ~$40,000+/year",September 15 2026 (first-time applicants); January 15 for renewals,FALL 2026 PRIORITY – DEADLINE SEP 15 2026,Black/African American + Hispanic; Pell-eligible; 3.3 GPA minimum; U.S. citizen or permanent resident; first-time college freshman... NOTE: confirm transfer student eligibility,VERY HIGH – Pell-eligible + Black + Hispanic is exact target demographic; 3.52 GPA exceeds 3.3 minimum,"✏️ Multiple essays (6–8 short responses); 📝 LOR (2); 📄 Transcripts; FAFSA",https://www.thegatesscholarship.org/scholarship,"One of the largest and most prestigious scholarships in the US. Covers full unmet need. Highly competitive (~300 winners from 40,000+ applicants). Emilio's dual ethnicity + Pell + military background = strong application narrative.","⚠️ CRITICAL: Verify transfer student eligibility – Gates is traditionally for first-time college students. However some sources indicate transfer eligibility. Contact Gates Foundation directly. HIGH VALUE – prioritize verification"
6,TIER1_URGENT,UNCF Scholarships (Multiple Programs),United Negro College Fund,"Varies – $500 to $10,000+ depending on program",Rolling deadlines + specific program dates – check portal,FALL 2026 PRIORITY – CHECK NOW,African American; STEM or any major; enrolled at accredited institution; financial need (most programs); FAFSA required,HIGH – African American + financial need is core UNCF mission; multiple programs available,"✏️ Essay (varies by program); 📄 Transcripts; FAFSA; some require LOR",https://opportunities.uncf.org/s/pre-login-welcome-page,"UNCF awards $62M+ in scholarships annually across 600+ schools. Multiple STEM-specific programs including Fund II Foundation STEM Scholars. Emilio qualifies as Black STEM student with financial need.","✅ Apply to UNCF general portal – you're matched to eligible scholarships. Check April deadlines listed on homepage"
7,TIER1_URGENT,EAA Post-Secondary Aviation Scholarship,Experimental Aircraft Association (EAA),"Varies (multiple awards)",October 1 – December 19 2026,FALL 2026 – APPLY OCT–DEC 2026,Aerospace/aeronautical/aviation STEM field; enrolled or incoming; age 16+; unofficial transcripts required,HIGH – aerospace engineering is a qualifying field; aviation/aerospace mission perfectly aligned,"📄 Transcripts (unofficial OK); 📝 1 character reference (non-relative); no GPA minimum stated but competitive",https://www.eaa.org/eaa/learn-to-fly/scholarships,"Post-secondary scholarships for aviation/aerospace engineering students. Scholarship must be used by March 1 following award year. Funds disbursed directly to institution.","✅ No GPA minimum listed – accessible. Apply Oct–Dec 2026. Good fit for NASA/aerospace career goals"
8,TIER1_URGENT,Hispanic Heritage Foundation STEM Scholarship,Hispanic Heritage Foundation,"Up to $5,000",Typically October 2026 – check website,FALL 2026 PRIORITY – APPLY OCT 2026,Hispanic/Latino; STEM major; strong academic achievement; leadership; U.S. citizen or permanent resident,HIGH – Hispanic + STEM + leadership = strong match,"✏️ Essay; 📄 Transcripts; evidence of leadership/community involvement",https://hispanicheritage.org/programs/scholarships/,"Annual STEM scholarships honoring top Latino students. Emilio's A.S. at 18 + transfer + NASA goals = strong narrative.","⚠️ Check exact deadline – typically October annually"
9,TIER2_SPRING2027,Jack Kent Cooke Undergraduate Transfer Scholarship,Jack Kent Cooke Foundation,"Up to $55,000/year for 2–3 years (last-dollar funding)",November 2026 (for students transferring Fall 2027) – CHECK URGENTLY,⚠️ URGENT CHECK: 2026 cycle likely closed (Nov 2025 deadline). Next cycle: November 2026 for Fall 2027 entry.,Community college transfer student; high academic achievement (avg recipient GPA 3.92); financial need; U.S. citizen or permanent resident; enrolled/completing associate's degree,"VERY HIGH – DESIGNED EXACTLY for community college transfer students with financial need; highest award value on this list","✏️ Multiple essays (personal statement + additional prompts); 📝 LOR (3); 📄 Transcripts; FAFSA; counselor recommendation",https://www.jkcf.org/our-scholarships/undergraduate-transfer-scholarship/,"The single most valuable transfer scholarship in the US. $55K/year covers tuition + living + books. 70% of recipients participated in honors programs. 66% held leadership roles.","⚠️⚠️ CRITICAL FLAG: If Emilio is enrolling Fall 2026 he MISSED the 2026 application (deadline was ~Nov 2025). However: (1) Verify if late/rolling applications exist; (2) If deferred to Fall 2027 this becomes the #1 priority scholarship; (3) Contact JKCF directly about Fall 2026 transfer applicants"
10,TIER2_SPRING2027,National Space Club Keynote Scholarship,National Space Club & Foundation,"$10,000",December–January annually (check for 2026–2027 cycle),SPRING 2027 CYCLE – APPLY DEC 2026,Junior or senior undergrad pursuing space-related career; U.S. citizen; strong academic record; interest in space exploration/science,VERY HIGH – aerospace + space career track is exact match,"✏️ Essay (career goals in space); 📄 Transcripts; 📝 LOR",https://spaceclub.org/,"Established space industry organization scholarship. Ideal for NASA-bound aerospace engineering students. $10K for competitive space career track.","✅ Strong narrative match: NASA internship goals + aerospace engineering = textbook application"
11,TIER2_SPRING2027,National Space Club Goddard Scholarship,National Space Club & Foundation,"$11,000",December–January annually (check for 2026–2027 cycle),SPRING 2027 CYCLE – APPLY DEC 2026,Junior or senior undergrad in aerospace engineering / propulsion / astronautics; outstanding academic record; U.S. citizen,VERY HIGH – named for Dr. Robert Goddard; aerospace engineering focus is exact match,"✏️ Essay; 📄 Transcripts; 📝 LOR (3)",https://spaceclub.org/,"Most prestigious National Space Club scholarship. Named after rocketry pioneer Robert Goddard. Strongest fit for aerospace engineering + space propulsion track.","✅ Recommend applying to BOTH Keynote + Goddard simultaneously. Coordinate with faculty advisor for LORs"
12,TIER2_SPRING2027,Fisher House Scholarships for Military Children,Fisher House Foundation,"$2,000",Opens December 2026 (for 2027–2028 academic year),SPRING 2027 CYCLE – Opens Dec 2026,Military dependent (active/reserve/retired); valid USID card; under age 23; college applicants 2.5 GPA min; full-time enrollment,VERY HIGH – directly targets military family dependents; low GPA floor; 500+ awards nationwide,"✏️ 500-word essay (topic announced when scholarship opens); 📄 Transcripts; USID card validation",https://www.fisherhouse.org/programs/scholarship-programs/scholarships-for-military-children/,"500 scholarships of $2,000 each awarded annually at commissary locations worldwide. One of the most accessible military dependent scholarships. Note: 2026–2027 cycle is already CLOSED.","⚠️ 2026–2027 cycle closed (recipients notified ~May 15). Plan for December 2026 opening. Confirm military branch eligibility and nearest commissary"
13,TIER2_SPRING2027,HSF Scholar Program,Hispanic Scholarship Fund,"$500–$5,000 (based on relative need)",January 5 – February 15 2027,SPRING 2027 CYCLE – Opens January 2027,Hispanic heritage; 2.5 GPA (college students); FAFSA submitted; full-time enrollment at accredited 4-year university; U.S. citizen / permanent resident / DACA,VERY HIGH – Hispanic heritage + FAFSA + financial need = perfect match; 10,000 scholars selected annually,"✏️ Essay/personal statement; FAFSA required; 📄 Transcripts",https://www.hsf.net/scholarship/,"Nation's largest Hispanic scholarship provider. $30M+ awarded annually. HSF Scholars also receive career services, mentorship, leadership development, internship access, and conference invitations.","✅ Very high acceptance volume (10,000 scholars/year). High value beyond just the scholarship – network + career services are major benefits. Apply on opening day (Jan 5)"
14,TIER2_SPRING2027,ScholarSHPE Scholarship,Society of Hispanic Professional Engineers (SHPE),"$2,000–$10,000+ (some corporate awards up to $25,000)",February 2 – February 16 2027,SPRING 2027 CYCLE – Opens Feb 2 2027,Active SHPE member; 2.5 GPA minimum; STEM major; enrolled at accredited 2-year or 4-year institution in U.S.; all classifications eligible,VERY HIGH – STEM + Hispanic + engineering = exact mission; 245+ scholarships awarded totaling $1M+ annually,"✏️ Essay (through ScholarSHPE Common Application); 📄 Transcripts; SHPE membership required",https://shpe.awardspring.com/,"SHPE's scholarship program covers all stages from community college to graduate school. One Common Application unlocks access to multiple scholarships. Corporate sponsors include major aerospace/defense companies.","⚠️⚠️ JOIN SHPE NOW (shpe.org/membership) – membership required BEFORE applying. Deadline is SHORT (2 weeks in February). Prep essays in January"
15,TIER2_SPRING2027,Congressional Black Caucus Foundation (CBCF) Scholarships,Congressional Black Caucus Foundation,"$1,500–$12,500 (varies by program)",Typically January 2027,SPRING 2027 CYCLE,African American; enrolled full-time at accredited institution; strong academics + leadership + community service; U.S. citizen,HIGH – African American heritage + leadership + academics = strong match,"✏️ Essays (2); 📝 LOR (2–3); 📄 Transcripts; community service documentation",https://cbcfinc.org/programs/scholarships/,"Multiple scholarship programs under CBCF umbrella. Strong emphasis on community engagement and public service alongside academics.","✅ Emilio's military family + community service + NASA goals makes compelling CBCF application narrative"
16,TIER2_SPRING2027,AMS Scholarship for Underserved Communities,American Meteorological Society,"$6,000",Typically February 2027,SPRING 2027 CYCLE,Hispanic / Native American / Black/African American; traditionally underrepresented in sciences; U.S. citizen or permanent resident; pursuing science/technology degree,MEDIUM-HIGH – underrepresented minority in STEM broadly; meteorology focus but aerospace adjacent,"✏️ Essay; 📄 Transcripts; 📝 LOR; evidence of financial need",https://www.ametsoc.org/index.cfm/ams/information-for/students/ams-scholarships-and-fellowships/ams-scholarship-for-underserved-communities-formerly-minority-schola,"Funded by AMS annual donations. Supports underrepresented minorities in atmospheric/space sciences. Aerospace engineering students may qualify under space science/STEM umbrella.","⚠️ Primary focus is atmospheric sciences – verify aerospace engineering qualifies. Worth applying given $6,000 value"
17,TIER2_SPRING2027,ALPFA Scholarship,Association of Latino Professionals For America,"Varies (merit + need-based tiers)",Spring 2027 – check portal,SPRING 2027 CYCLE,ALPFA member; 2.5 GPA; U.S. citizen/permanent resident/DACA; full-time enrollment; rising sophomore/junior/senior; FAFSA submitted; any major,HIGH – Latino heritage + financial need + FAFSA = core eligibility; membership required,"✏️ Essay; 📄 Resume; FAFSA; ALPFA membership",https://www.alpfa.org/page/scholarship,"Founded 1972. National Latino professional association offering scholarships to degree-seeking students at 2-year or 4-year institutions in U.S. or Puerto Rico.","⚠️ Join ALPFA as student member first. Resume required – good prompt to update with NASA goals and military background"
18,TIER2_SPRING2027,HACU Scholarship Program,Hispanic Association of Colleges and Universities,"Varies (covers tuition + fees for some; cash awards for others)",Spring 2027 – check portal at hacu.awardspring.com,SPRING 2027 CYCLE,Enrolled at HACU-member institution (critical requirement); Hispanic heritage or financial need; completed at least 1 semester at HACU-member school; FAFSA required,HIGH IF attending HACU-member school – verify enrollment,"✏️ Essay; FAFSA; 📄 Transcripts",https://hacu.awardspring.com/,"HACU member institutions span the U.S. including many Hispanic-Serving Institutions (HSIs). Covers various costs depending on sponsor.","⚠️ CRITICAL: Must be enrolled at HACU-member institution. Verify if transfer target university is HACU-affiliated before applying. Directory: hacu.net/hacu/HACU_Member_Institutions.asp"
19,TIER2_SPRING2027,LULAC National Scholarship Fund,League of United Latin American Citizens (LULAC),"Varies ($200–$2,000+ depending on local council); national matching available",Varies by local council (typically spring),SPRING 2027 CYCLE – check local council,Hispanic heritage; academic achievement; financial need; applied through nearest local LULAC council,HIGH – Hispanic community-focused; strong local network,"✏️ Essay (varies by council); 📄 Transcripts; financial need documentation",http://lulac.org/programs/education/scholarships/,"LULAC has 1,000+ councils across the U.S. and Puerto Rico. Local councils raise funds independently and receive national matching. Multiple awards per council.","✅ Find nearest LULAC council at lulac.org/councils/search. Apply to multiple councils if eligible. Also check LNESC corporate scholarships"
20,TIER2_SPRING2027,NSSA Moorman Scholarship,National Security Space Association,"$10,000",~March 2027 (2026 deadline was March 27 – CLOSED),SPRING 2027 CYCLE – Apply Feb–Mar 2027,Undergrad sophomore/junior/senior; STEM degree; leadership qualities; commitment to service; U.S. citizen,HIGH – STEM + leadership + service fits Emilio's profile; space/defense focus aligns with aerospace/NASA goals,"✏️ Essay (leadership + service narrative); 📄 Transcripts; possible interview",https://nssaspace.org/scholarships-26/,"Honors legacy of Gen. Thomas Moorman Jr. (USAF). Strong emphasis on leadership + written excellence + service. Space/national security career focus.","✅ Military family background = strong Moorman alignment. Note: 2026 cycle extended deadline was March 27 – plan ahead for 2027"
21,TIER2_SPRING2027,NSSA RGi Scholarship,National Security Space Association / Reinventing Geospatial Inc.,"$10,000",~March 2027 (check NSSA website),SPRING 2027 CYCLE – Apply alongside Moorman,Undergrad (sophomore/junior/senior) or grad student; STEM; interest in national security/geospatial/space; U.S. citizen,MEDIUM-HIGH – STEM + space interest qualifies; geospatial/national security angle,"✏️ Essay; 📄 Transcripts",https://nssaspace.org/scholarships-26/,"Corporate-sponsored by Reinventing Geospatial Inc. First-ever NSSA RGi Scholarship awarded in 2025. Inaugural scholarship = growing opportunity.","✅ Apply to both NSSA scholarships simultaneously via same portal. $10K each = potentially $20K total"
22,TIER2_SPRING2027,Military Branch Aid Scholarships (Army/AFAS/Navy-Marine/CG),Multiple Military Aid Societies,"Varies: Army AER $2,000+; AFAS $500–$4,000; NMCRS $500–$3,000; CGF varies","March 1 (Army AER and AFAS); March–May (NMCRS); check CGF",SPRING 2027 CYCLE,Military dependent; branch-specific eligibility; enrolled in college; financial need (most); GPA requirement varies (2.0+),VERY HIGH IF military branch confirmed – direct dependent benefit program,"📄 Transcripts; financial documentation; military ID/documentation",Army AER: https://www.aerhq.org/ | Air Force: https://afas.org/ | Navy-Marine: https://www.nmcrs.org/scholarships | Coast Guard: https://www.coastguardfoundation.org/,"Branch-specific military aid scholarships with financial need focus. Exact fit depends on Emilio's parent's branch of service.","⚠️ CONFIRM MILITARY BRANCH of family member to select correct program. Apply to the correct branch society. These are reliable sources of aid specifically for military dependents"
23,TIER3_CHECK,NASA Space Grant Consortium Scholarships,NASA / State Space Grant Consortia,"$1,000–$7,500+ (varies by state and institution)",Varies by state consortium (typically spring/fall),CHECK WITH ENROLLED INSTITUTION,U.S. citizen; STEM/aerospace field; enrolled at Space Grant-affiliated institution; varies by state,HIGH – direct NASA connection; aerospace engineering focus; institution-based nomination process,"Varies by state (typically application + essays + transcripts + LOR)",https://www.nasa.gov/stem/spacegrant/home/,"Each state has a NASA Space Grant Consortium with its own scholarships. Funds undergraduate and graduate students pursuing NASA-aligned careers in STEM. Emilio's transfer institution must be a Space Grant affiliate.","✅ FIND STATE CONSORTIUM: go to nasa.gov/spacegrant. Verify Emilio's target school is affiliated. Then apply directly through institution's Space Grant office. Essential NASA pipeline scholarship"
24,TIER3_CHECK,Astronaut Scholarship Foundation,Astronaut Scholarship Foundation / Mercury 7 Astronauts,"$10,000",Faculty nomination required – no direct application; nominations typically in spring,CHECK WITH FACULTY ADVISOR AT NEW INSTITUTION,U.S. citizen; sophomore or junior undergrad; STEM; outstanding academic achievement; nominated by faculty member,HIGH – prestigious NASA/aerospace-aligned scholarship; mission-perfect for NASA-bound engineer,"📝 Faculty nomination required (no self-application)",https://www.astronautscholarship.org/,"Founded by the original Mercury 7 astronauts. One of the most prestigious STEM scholarships. Emilio cannot apply directly – must be nominated by faculty.","⚠️ Priority action: Once enrolled at transfer institution, build relationship with aerospace dept. faculty ASAP. Ask department chair about ASF nomination process. Timing is critical"
25,TIER3_CHECK,GEM Fellowship (Graduate Planning),National GEM Consortium,"Full tuition + $16,000 total stipend + 2 paid summer internships",Typically November (for the following fall),FUTURE PLANNING – Graduate School,Senior undergrad or graduate student; engineering or CS; 2.8 GPA; available for summer internships; sponsored by GEM employer; underrepresented minority encouraged but not required,"VERY HIGH for grad school planning – NASA + aerospace employer sponsorship is ideal match","✏️ Essays; 📝 LOR (3); 📄 Transcripts; employer sponsor required",https://www.gemfellowship.org/gem-fellowship-program/,"The premier graduate fellowship for underrepresented minorities in engineering and STEM. Full tuition + stipend + paid internships at top firms. Emilio should begin targeting GEM employers (NASA JPL Lockheed Northrop) during junior year.","⚠️ Apply as a junior/senior. Start networking with GEM employer partners now. Emilio's profile (minority + aerospace + NASA-bound) = ideal GEM candidate"
26,TIER3_CHECK,AISES Scholarships,American Indian Science and Engineering Society,"$1,000–$10,000",Typically June–September annually,CHECK – only applicable if Indigenous heritage,American Indian / Alaska Native / Native Hawaiian / Pacific Islander / Indigenous person; STEM; AISES member; 2.0 GPA,LOW unless Indigenous heritage,✏️ Essay; 📄 Transcripts; AISES membership; tribal enrollment documentation may be required,https://www.aises.org/scholarships,"AISES supports Indigenous STEM students. While often listed for 'underrepresented minorities broadly' the eligibility is specifically Indigenous peoples.","⚠️ Only apply if Emilio has Indigenous heritage (American Indian / Alaska Native / Native Hawaiian / Pacific Islander). Verify before spending application time"
27,TIER3_CHECK,Latinos in Technology Scholarship,Hispanic Foundation of Silicon Valley (HFSV),"$6,000",Typically winter/spring – check website,CHECK – GEOGRAPHIC RESTRICTION,Latino/Hispanic; STEM; 3.0 GPA; junior or transfer to 4-year; Northern California counties (GEOGRAPHIC RESTRICTION); financial need,LOW-MEDIUM – strong scholarship but likely geographically restricted to Northern CA students/schools,"✏️ Essay; 📄 Transcripts; financial need documentation",https://www.hfsv.org/latinos-in-technology-scholarship/,"Provides scholarships and career development to Latino STEM students. $6,000 + professional workshops + internship access. NOTE: Restricted to students from or attending institutions in Northern California counties.","⚠️ Verify if Emilio resides in or attends school in eligible Northern CA counties. If not – skip"
